FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
69,108201,2,5,12,4.686,0,4.686,0.000274649133678,0.091732504393474
70,108202,2,5,12,0,0,0,0.000587450562336,0.109912623209752
71,109100,2,3,7,35.436,0,35.436,0.000265066286631,0.078146405763147
72,109200,2,3,12,0,0,0,0.000116804178219,0.04476120770994
73,109300,2,3,12,55.287,0,55.287,0.000120709997876,0.05296755627277
74,109400,2,3,7,24.81,0,24.81,0.000126436420557,0.055677852132514
75,109500,2,3,7,81.167,0,81.167,0.000116858446371,0.061747609268951
76,109601,2,3,7,4.021,0,4.021,0.000220016386864,0.060431172227016
77,109603,2,3,7,50.078,0,50.078,9.7763649481e-05,0.041460250656658
78,109604,2,3,7,34.066,0,34.066,0.000114998334063,0.044031204728439
79,109700,2,3,12,13.202,0,13.202,0.000155324615091,0.054852204058486
80,109800,2,3,12,5.102,0,5.102,0.000136963423635,0.051943911282576
81,111100,2,5,12,0,0,0,0.000103688497806,0.0421232486236
82,111201,2,5,12,1.703,0,1.703,0.000187257357807,0.081570429446189
83,111202,2,5,12,4.181,0,4.181,0.000182728777435,0.065674908921312
84,111204,2,5,12,2.591,0,2.591,0.000324114275544,0.076873911941805
85,111205,2,5,12,1.591,0,1.591,0.000113439517484,0.045853578587048
86,111206,2,5,12,0,0,0,0.000256735823562,0.072360129942518
87,111301,2,5,12,10.532,0,10.532,0.000195893155649,0.06785520919434
88,111302,2,5,12,0,0,0,0.000151976566077,0.056140357000752
89,111400,2,5,12,2,0,2,0.000177356083966,0.054156624170254
90,113101,2,5,12,3.095,0,3.095,0.000221708774921,0.064016494301633
91,113102,2,5,12,14.664,0,14.664,0.000359617406523,0.076576703796056
92,113211,2,5,12,0,0,0,0.000712866216302,0.116606406386488
93,113212,2,5,12,0,0,0,9.7863146948e-05,0.044260018918863
94,113213,2,5,12,13.368,0,13.368,0.000127317530591,0.053203047034638
95,113231,2,5,12,11.56,0,11.56,0.000405073436855,0.132954078338794
96,113232,2,5,12,6.285,0,6.285,0.000202120377697,0.07172220862956
97,113233,2,5,3,4.851,0,4.851,0.000111924690243,0.049091975493448
98,113234,2,3,3,8.093,0,8.093,0.000100084334756,0.049515110234299
99,113235,2,5,3,0,0,0,0.000139324471753,0.092668094150599
100,113237,2,5,12,46.734,180,226.734,0.000464573714267,0.112627004405294
101,113301,2,5,12,14.791,0,14.791,0.000222107259554,0.0655265294043
102,113303,2,5,12,50.502,11,61.502,0.000399357458521,0.097697530638667
103,113321,2,5,12,14.16,0,14.16,0.000102605252551,0.042304189971567
104,113322,2,5,12,10.187,0,10.187,0.000174850304416,0.06378760680783
105,113401,2,3,12,9.19,0,9.19,0.000239890581206,0.062743880161276
106,113421,2,3,3,35.109,0,35.109,0.000215786449216,0.067196098670841
107,113422,2,3,3,0,0,0,0.0001496661226,0.057185494666711
108,115101,2,3,12,5,0,5,0.000379914492703,0.078482908284268
109,115103,2,5,12,0,0,0,0.00014891246107,0.064890860235833
110,115104,2,3,12,12.361,0,12.361,9.9828877043e-05,0.058348049884021
111,115201,2,3,12,3.095,0,3.095,0.000134316273871,0.056279270866045
112,115202,2,3,12,25.674,97,122.674,0.00017039103751,0.058201141392153
113,115301,2,3,12,0,0,0,0.000160610385452,0.065396719787281
114,115302,2,3,12,16.898,0,16.898,8.1972518325e-05,0.036963305338112
115,115401,2,3,12,1,0,1,0.000186399121139,0.064517290043559
116,115403,2,3,12,10.379,0,10.379,6.8853675775e-05,0.033484066702063
117,115404,2,3,12,2.095,0,2.095,9.3270997041e-05,0.039177283741341
118,117101,2,3,7,16.274,0,16.274,7.6277638089e-05,0.035786151334815
